"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Jan-2022","EQ","225.05","252.45","221.15","224.15","247.40","249.50","243.83","252.45","68.80",5883095,"1,434,481,124.50",71368
"03-Jan-2022","EQ","221.85","225.50","219.00","221.40","225.00","224.15","222.85","235.00","68.80",545053,"121,465,659.45",8870
"31-Dec-2021","EQ","224.00","226.60","220.25","223.20","221.85","221.40","222.78","235.00","68.80",274197,"61,084,670.10",4854
"30-Dec-2021","EQ","223.00","227.95","220.40","223.15","223.50","223.20","224.48","235.00","68.80",483692,"108,581,232.40",8946
"29-Dec-2021","EQ","223.00","230.00","222.05","221.40","223.35","223.15","225.68","235.00","68.80",748628,"168,949,915.75",11340
"28-Dec-2021","EQ","220.00","226.15","219.05","217.05","221.40","221.40","222.68","235.00","68.80",1016369,"226,328,293.65",16227
"27-Dec-2021","EQ","216.00","218.10","211.25","216.00","217.85","217.05","215.96","235.00","68.80",307363,"66,378,945.25",5839
"24-Dec-2021","EQ","218.65","222.35","215.10","216.90","215.40","216.00","217.89","235.00","62.35",660139,"143,837,189.90",13008
"23-Dec-2021","EQ","216.00","222.90","214.25","213.95","217.40","216.90","217.80","235.00","62.35",459726,"100,130,012.75",7950
"22-Dec-2021","EQ","216.40","219.00","213.00","215.35","213.75","213.95","215.26","235.00","62.35",366522,"78,898,614.90",6489
"21-Dec-2021","EQ","210.00","218.00","210.00","208.65","217.00","215.35","215.32","235.00","62.35",547772,"117,945,641.55",9643
"20-Dec-2021","EQ","219.10","219.90","199.30","222.15","208.55","208.65","207.74","235.00","62.35",1203182,"249,954,753.55",24921
"17-Dec-2021","EQ","229.10","233.50","219.00","227.50","222.00","222.15","227.11","235.00","62.35",1168922,"265,479,411.95",19734
"16-Dec-2021","EQ","222.20","229.00","222.00","220.40","226.95","227.50","225.65","235.00","62.35",952244,"214,874,016.50",15671
"15-Dec-2021","EQ","223.25","232.50","217.20","225.35","220.90","220.40","226.28","235.00","62.35",1304915,"295,282,162.95",25589
"14-Dec-2021","EQ","215.50","226.90","215.50","217.65","224.15","225.35","223.86","235.00","62.35",1043662,"233,633,139.20",20119
"13-Dec-2021","EQ","220.00","221.35","215.55","218.40","218.45","217.65","218.37","235.00","62.35",540365,"117,997,881.75",8461
"10-Dec-2021","EQ","225.45","225.60","216.15","224.40","218.10","218.40","220.58","235.00","62.35",567130,"125,097,976.60",10303
"09-Dec-2021","EQ","213.00","232.00","210.35","211.55","224.40","224.40","223.27","235.00","62.35",1683178,"375,811,561.85",23021
"08-Dec-2021","EQ","214.50","216.90","210.10","213.00","212.00","211.55","213.99","235.00","62.35",389513,"83,353,586.35",5957
"07-Dec-2021","EQ","209.00","214.35","209.00","209.25","212.70","213.00","212.09","235.00","62.35",392169,"83,174,667.05",6614
"06-Dec-2021","EQ","215.00","218.00","208.20","214.30","209.00","209.25","214.22","235.00","62.35",640004,"137,104,602.40",10586
"03-Dec-2021","EQ","208.95","217.50","208.65","209.10","215.50","214.30","214.20","235.00","62.35",1100590,"235,747,730.45",15223
"02-Dec-2021","EQ","206.90","212.30","205.50","204.15","209.05","209.10","208.89","235.00","62.35",638008,"133,270,851.95",10787
"01-Dec-2021","EQ","204.75","209.70","201.50","206.50","203.90","204.15","205.14","235.00","62.35",694520,"142,474,295.70",11506
"30-Nov-2021","EQ","201.00","213.75","200.10","201.20","201.30","206.50","207.64","235.00","62.35",2124349,"441,100,657.85",28951
"29-Nov-2021","EQ","220.25","224.00","197.60","224.05","200.90","201.20","208.56","235.00","62.35",1505990,"314,091,009.15",31758
"26-Nov-2021","EQ","224.25","235.00","219.30","225.65","223.00","224.05","229.51","235.00","62.35",3041955,"698,166,539.65",52510
"25-Nov-2021","EQ","217.90","230.00","216.65","216.40","225.25","225.65","226.43","230.00","62.35",3871414,"876,620,634.90",49544
"24-Nov-2021","EQ","205.30","225.00","205.30","201.45","215.70","216.40","219.05","225.00","62.35",4445028,"973,687,259.25",56341
"23-Nov-2021","EQ","189.00","203.75","189.00","188.05","201.40","201.45","196.45","220.00","62.35",946748,"185,988,469.15",20078
"22-Nov-2021","EQ","200.70","200.70","185.75","199.70","188.00","188.05","189.96","220.00","62.35",912918,"173,421,123.35",15967
"18-Nov-2021","EQ","205.85","206.70","198.50","205.75","200.00","199.70","201.54","220.00","62.35",472055,"95,137,638.30",9364
"17-Nov-2021","EQ","198.85","210.00","198.00","198.05","205.10","205.75","205.34","220.00","62.35",862770,"177,159,757.50",15193
"16-Nov-2021","EQ","207.00","209.50","196.65","206.10","198.40","198.05","202.94","220.00","62.35",624007,"126,638,200.90",11995
"15-Nov-2021","EQ","217.00","217.00","205.00","215.95","206.50","206.10","209.28","220.00","62.35",463849,"97,074,901.85",9168
"12-Nov-2021","EQ","211.60","217.75","208.55","209.95","215.05","215.95","214.13","220.00","62.35",1406120,"301,091,031.50",22182
"11-Nov-2021","EQ","213.90","214.00","201.95","212.25","209.30","209.95","208.55","220.00","62.35",1110614,"231,620,259.95",19073
"10-Nov-2021","EQ","200.00","214.00","199.50","201.00","213.00","212.25","210.91","220.00","62.35",1767505,"372,787,421.45",24819
"09-Nov-2021","EQ","204.15","206.75","199.80","205.40","202.00","201.00","202.50","220.00","62.35",331129,"67,053,325.10",6441
"08-Nov-2021","EQ","207.40","209.25","202.05","203.40","205.00","205.40","206.70","220.00","62.35",626097,"129,411,604.15",9945
"04-Nov-2021","EQ","203.80","206.30","201.25","201.15","203.20","203.40","203.90","220.00","62.35",237791,"48,485,358.85",3303
"03-Nov-2021","EQ","205.30","207.70","198.50","204.05","200.70","201.15","203.44","220.00","62.35",592128,"120,463,559.90",11576
"02-Nov-2021","EQ","196.00","206.50","194.55","194.05","205.30","204.05","201.15","220.00","62.35",988812,"198,897,988.70",16456
"01-Nov-2021","EQ","192.55","195.60","191.05","191.25","195.40","194.05","193.37","220.00","62.35",468644,"90,620,051.05",7432
"29-Oct-2021","EQ","185.00","196.00","183.05","187.85","190.10","191.25","191.73","220.00","62.35",789730,"151,412,143.85",16780
"28-Oct-2021","EQ","201.00","201.00","185.10","203.90","188.00","187.85","191.96","220.00","62.35",1069140,"205,231,230.25",20013
"27-Oct-2021","EQ","205.00","210.40","201.00","203.85","204.50","203.90","205.89","220.00","62.35",797468,"164,186,947.85",14653
"26-Oct-2021","EQ","192.10","207.15","192.00","190.05","203.25","203.85","199.87","220.00","62.35",1102630,"220,384,182.10",21504
"25-Oct-2021","EQ","194.00","196.75","181.05","193.20","191.40","190.05","187.99","220.00","62.35",841099,"158,118,671.25",17324
"22-Oct-2021","EQ","206.00","206.35","191.30","205.60","193.50","193.20","197.32","220.00","62.35",634482,"125,197,267.50",12535
"21-Oct-2021","EQ","202.70","209.90","201.30","201.05","204.50","205.60","206.28","220.00","62.35",905395,"186,761,035.95",16586
"20-Oct-2021","EQ","208.00","208.00","194.45","208.35","202.60","201.05","201.94","220.00","62.35",1067222,"215,511,920.65",20930
"19-Oct-2021","EQ","215.15","220.00","205.00","213.45","208.00","208.35","214.01","220.00","62.35",1409005,"301,536,009.80",22224
"18-Oct-2021","EQ","202.90","218.65","202.30","201.20","214.50","213.45","212.66","218.65","62.35",2489763,"529,474,603.40",33708
"14-Oct-2021","EQ","208.50","209.70","198.90","206.90","201.30","201.20","204.57","212.40","62.35",756831,"154,823,793.60",14394
"13-Oct-2021","EQ","204.70","212.40","203.85","203.15","207.25","206.90","208.60","212.40","62.35",1825099,"380,717,683.45",27094
"12-Oct-2021","EQ","200.00","207.70","199.90","199.40","203.00","203.15","204.25","210.00","62.35",1677123,"342,545,261.25",23866
"11-Oct-2021","EQ","199.00","205.00","196.00","197.55","200.00","199.40","200.37","210.00","62.35",974266,"195,209,758.25",16821
"08-Oct-2021","EQ","193.95","205.05","190.50","192.20","198.25","197.55","197.86","210.00","62.35",1193360,"236,116,667.60",21986
"07-Oct-2021","EQ","196.05","197.45","190.10","194.55","192.00","192.20","194.21","210.00","62.35",873629,"169,668,476.75",14470
"06-Oct-2021","EQ","200.50","201.90","192.55","199.75","194.70","194.55","197.35","210.00","62.35",936291,"184,772,637.10",16145
"05-Oct-2021","EQ","206.85","206.85","198.40","206.50","199.05","199.75","201.15","210.00","62.35",1239227,"249,265,089.15",22400
"04-Oct-2021","EQ","195.00","210.00","194.90","192.20","206.40","206.50","205.05","210.00","62.35",4589697,"941,111,037.30",59358
"01-Oct-2021","EQ","184.25","193.65","183.30","185.05","192.75","192.20","190.19","209.40","62.35",1831703,"348,372,238.30",23711
"30-Sep-2021","EQ","186.95","189.90","182.75","185.10","184.20","185.05","186.55","209.40","62.35",1096108,"204,481,514.80",17699
"29-Sep-2021","EQ","177.40","187.00","177.40","175.25","184.55","185.10","183.13","209.40","62.35",1758045,"321,944,856.05",27986
"28-Sep-2021","EQ","173.65","176.50","173.00","171.95","174.80","175.25","174.91","209.40","62.35",475658,"83,199,646.60",7878
"27-Sep-2021","EQ","175.90","176.25","171.00","174.35","171.95","171.95","172.79","209.40","62.35",251092,"43,386,028.35",5726
"24-Sep-2021","EQ","177.30","182.00","173.75","173.80","174.30","174.35","178.07","209.40","62.35",563346,"100,314,276.45",9611
"23-Sep-2021","EQ","172.50","175.65","171.60","170.60","174.30","173.80","173.83","209.40","62.35",317981,"55,275,645.15",8703
"22-Sep-2021","EQ","168.90","172.90","168.90","168.10","171.50","170.60","171.19","209.40","62.35",267179,"45,737,393.05",5726
"21-Sep-2021","EQ","169.00","170.70","166.55","169.85","168.10","168.10","168.11","209.40","62.35",358101,"60,200,767.00",5855
"20-Sep-2021","EQ","174.50","178.20","168.65","178.25","169.95","169.85","173.69","209.40","62.35",406679,"70,636,220.40",8777
"17-Sep-2021","EQ","178.60","179.75","171.60","178.30","178.05","178.25","175.96","209.40","62.35",485450,"85,419,630.70",10196
"16-Sep-2021","EQ","179.95","182.40","177.60","178.15","178.70","178.30","180.54","209.40","62.35",440559,"79,539,964.35",6511
"15-Sep-2021","EQ","178.00","183.60","177.40","175.60","178.00","178.15","180.30","209.40","62.35",640540,"115,490,580.60",11228
"14-Sep-2021","EQ","171.85","177.65","170.40","170.45","177.60","175.60","174.34","209.40","62.35",528892,"92,208,544.65",8367
"13-Sep-2021","EQ","169.45","171.45","166.00","169.40","170.70","170.45","168.38","209.40","62.35",297442,"50,083,375.65",5887
"09-Sep-2021","EQ","168.60","172.35","168.25","169.10","169.00","169.40","169.62","209.40","62.35",232157,"39,378,298.30",4093
"08-Sep-2021","EQ","166.60","171.30","166.55","168.25","169.20","169.10","169.24","209.40","62.35",210627,"35,646,629.15",4312
"07-Sep-2021","EQ","169.80","171.90","165.55","169.75","168.80","168.25","169.50","209.40","62.35",292124,"49,515,458.85",5176
"06-Sep-2021","EQ","175.10","176.50","169.00","174.15","170.00","169.75","171.37","209.40","62.35",374594,"64,194,292.50",6977
"03-Sep-2021","EQ","171.30","175.50","170.40","170.50","174.85","174.15","173.26","209.40","62.35",382286,"66,234,847.25",6919
"02-Sep-2021","EQ","174.10","175.00","168.00","174.10","171.70","170.50","172.26","209.40","62.35",404213,"69,628,902.30",10460
"01-Sep-2021","EQ","174.10","176.80","173.60","173.25","174.30","174.10","174.71","209.40","62.35",260076,"45,438,470.80",7036
"31-Aug-2021","EQ","174.00","176.45","172.80","170.85","172.80","173.25","174.26","209.40","62.35",251623,"43,847,801.50",6404
"30-Aug-2021","EQ","171.00","172.65","169.30","168.70","170.90","170.85","170.97","209.40","62.35",269040,"45,998,858.15",5076
"27-Aug-2021","EQ","172.20","172.35","167.30","172.20","169.45","168.70","170.30","209.40","62.35",238667,"40,645,164.15",5162
"26-Aug-2021","EQ","174.75","177.95","171.25","173.90","172.75","172.20","175.42","209.40","62.35",449343,"78,822,804.40",7170
"25-Aug-2021","EQ","171.65","176.85","171.65","170.65","173.45","173.90","174.54","209.40","62.35",606949,"105,938,294.30",9629
"24-Aug-2021","EQ","166.00","173.75","166.00","165.65","171.50","170.65","170.90","209.40","62.35",521323,"89,096,294.75",9748
"23-Aug-2021","EQ","175.00","176.75","164.25","174.15","166.90","165.65","169.13","209.40","62.35",350325,"59,250,401.60",8580
"20-Aug-2021","EQ","178.30","179.85","173.10","179.25","173.75","174.15","176.72","209.40","62.35",484150,"85,557,429.55",10391
"18-Aug-2021","EQ","180.95","184.00","175.10","180.65","179.00","179.25","179.37","209.40","62.35",665467,"119,362,611.75",10873
"17-Aug-2021","EQ","181.50","185.50","179.10","177.85","180.50","180.65","182.80","209.40","62.35",994763,"181,838,831.65",16391
"16-Aug-2021","EQ","177.25","180.00","175.10","173.55","176.50","177.85","177.42","209.40","62.35",518320,"91,961,501.10",7913
"13-Aug-2021","EQ","174.80","178.00","173.00","173.90","173.50","173.55","175.76","209.40","62.35",361447,"63,527,619.25",5196
"12-Aug-2021","EQ","174.50","178.00","171.45","172.90","173.80","173.90","175.08","209.40","62.35",686053,"120,116,167.05",8733
"11-Aug-2021","EQ","170.00","175.00","167.55","165.25","173.50","172.90","172.03","209.40","62.35",873269,"150,225,252.65",12989
"10-Aug-2021","EQ","174.90","177.30","163.00","175.00","164.00","165.25","169.92","209.40","62.35",671099,"114,034,866.00",10978
"09-Aug-2021","EQ","181.35","181.90","174.05","181.15","175.50","175.00","176.55","209.40","62.35",497884,"87,902,137.50",8484
"06-Aug-2021","EQ","180.60","184.70","180.20","178.80","182.00","181.15","182.55","209.40","56.90",360366,"65,783,870.30",6385
"05-Aug-2021","EQ","180.00","180.90","175.00","180.25","178.40","178.80","177.28","209.40","56.90",590860,"104,747,174.30",9109
"04-Aug-2021","EQ","184.95","186.70","176.60","184.80","178.70","180.25","180.99","209.40","56.90",761616,"137,841,475.95",10609
"03-Aug-2021","EQ","187.70","188.45","182.00","186.75","185.00","184.80","184.78","209.40","56.90",667384,"123,320,831.00",10402
"02-Aug-2021","EQ","188.20","193.00","184.60","186.85","187.40","186.75","189.06","209.40","56.90",627066,"118,554,841.05",9372
"30-Jul-2021","EQ","190.95","192.90","185.00","191.85","187.80","186.85","189.47","209.40","54.05",879850,"166,705,142.45",11195
"29-Jul-2021","EQ","175.40","192.70","175.40","176.70","192.50","191.85","186.66","209.40","54.05",2160840,"403,333,094.65",23326
"28-Jul-2021","EQ","182.90","184.90","173.60","181.05","175.40","176.70","179.27","209.40","54.05",820261,"147,050,567.45",11706
"27-Jul-2021","EQ","175.00","183.60","175.00","172.30","181.20","181.05","179.66","209.40","54.05",1285716,"230,994,268.35",16758
"26-Jul-2021","EQ","178.35","178.35","159.45","184.35","172.00","172.30","172.27","209.40","54.05",3188124,"549,213,265.60",40651
"23-Jul-2021","EQ","187.95","189.60","182.20","186.70","183.90","184.35","185.12","209.40","54.00",585093,"108,313,229.10",10825
"22-Jul-2021","EQ","189.00","192.25","185.05","187.90","186.30","186.70","188.71","209.40","54.00",546631,"103,153,280.55",7444
"20-Jul-2021","EQ","192.90","194.40","184.15","193.60","188.00","187.90","188.43","209.40","54.00",537648,"101,310,882.15",9423
"19-Jul-2021","EQ","190.00","198.95","188.90","191.10","193.70","193.60","194.66","209.40","54.00",731644,"142,420,630.40",13099
"16-Jul-2021","EQ","195.60","195.75","190.55","195.20","190.90","191.10","191.90","209.40","51.80",649558,"124,650,471.40",9556
"15-Jul-2021","EQ","199.20","199.95","192.60","199.20","195.60","195.20","197.07","209.40","51.80",600690,"118,379,275.15",8553
"14-Jul-2021","EQ","196.65","199.65","196.65","198.50","199.60","199.20","198.45","209.40","51.80",489685,"97,179,546.55",6659
"13-Jul-2021","EQ","199.30","201.75","195.90","198.35","197.60","198.50","199.25","209.40","51.80",1007884,"200,821,437.90",11754
"12-Jul-2021","EQ","202.00","204.65","196.70","199.25","197.20","198.35","199.62","209.40","51.80",674985,"134,742,438.45",11219
